company,statement_type,account,account_kr,unit,2023,2024,2025
HYBE,Consolidated,Revenue,매출액,KRW million,2178145,2255639,2649890
HYBE,Consolidated,Operating_Profit,영업이익,KRW million,295636,184000,49300
HYBE,Consolidated,Net_Income,당기순이익,KRW million,183424,-3400,-254400
HYBE,Consolidated,Total_Assets,자산총계,KRW million,5345680,5479190,5485470
HYBE,Consolidated,Operating_Cash_Flow,영업활동현금흐름,KRW million,310627,151599,177260
HYBE,Consolidated,Intangible_Assets,무형자산,KRW million,2165250,2244257,1986686
HYBE,Consolidated,Goodwill,영업권,KRW million,1717432,1809809,1679490
HYBE,Consolidated,Investment_in_Associates,관계기업투자,KRW million,241080,216075,101756
HYBE,Consolidated,Accounts_Receivable,매출채권,KRW million,214977,262261,283558
HYBE,Consolidated,Inventory,재고자산,KRW million,125860,163152,184400
HYBE,Consolidated,Trade_Payables,매입채무,KRW million,26000,33000,56000
